ano;provres;depres;pesonac;cant
2010;6;760;2.2500 gramos y mas;5242
2010;6;760;3.Sin especificar;91
2010;6;763;1.Menos de 2500 gramos;197
2010;6;763;2.2500 gramos y mas;2325
2010;6;763;3.Sin especificar;10
2010;6;770;1.Menos de 2500 gramos;68
2010;6;770;2.2500 gramos y mas;1146
2010;6;770;3.Sin especificar;13
2010;6;778;1.Menos de 2500 gramos;100
2010;6;778;2.2500 gramos y mas;1306
2010;6;778;3.Sin especificar;18
2010;6;784;1.Menos de 2500 gramos;13
2010;6;784;2.2500 gramos y mas;156
2010;6;784;3.Sin especificar;2
2010;6;791;1.Menos de 2500 gramos;161
2010;6;791;2.2500 gramos y mas;1813
2010;6;791;3.Sin especificar;9
2010;6;798;1.Menos de 2500 gramos;7
2010;6;798;2.2500 gramos y mas;132
2010;6;805;1.Menos de 2500 gramos;525
2010;6;805;2.2500 gramos y mas;7032
2010;6;805;3.Sin especificar;187
2010;6;812;1.Menos de 2500 gramos;1
2010;6;812;2.2500 gramos y mas;24
2010;6;819;1.Menos de 2500 gramos;8
2010;6;819;2.2500 gramos y mas;152
2010;6;819;3.Sin especificar;2
2010;6;826;1.Menos de 2500 gramos;48
2010;6;826;2.2500 gramos y mas;657
2010;6;826;3.Sin especificar;3
2010;6;833;1.Menos de 2500 gramos;76
2010;6;833;2.2500 gramos y mas;794
2010;6;833;3.Sin especificar;7
2010;6;840;1.Menos de 2500 gramos;369
2010;6;840;2.2500 gramos y mas;5023
2010;6;840;3.Sin especificar;42
2010;6;847;1.Menos de 2500 gramos;6
2010;6;847;2.2500 gramos y mas;97
2010;6;847;3.Sin especificar;1
2010;6;854;1.Menos de 2500 gramos;42
2010;6;854;2.2500 gramos y mas;513
2010;6;854;3.Sin especificar;8
2010;6;861;1.Menos de 2500 gramos;280
2010;6;861;2.2500 gramos y mas;3352
2010;6;861;3.Sin especificar;37
2010;6;868;1.Menos de 2500 gramos;41
2010;6;868;2.2500 gramos y mas;591
2010;6;868;3.Sin especificar;6
2010;6;875;1.Menos de 2500 gramos;26
2010;6;875;2.2500 gramos y mas;541
2010;6;875;3.Sin especificar;3
2010;6;882;1.Menos de 2500 gramos;208
2010;6;882;2.2500 gramos y mas;2185
2010;6;882;3.Sin especificar;16
2010;6;999;1.Menos de 2500 gramos;23
2010;6;999;2.2500 gramos y mas;195
2010;6;999;3.Sin especificar;18
2010;10;7;1.Menos de 2500 gramos;8
2010;10;7;2.2500 gramos y mas;56
2010;10;7;3.Sin especificar;1
2010;10;14;1.Menos de 2500 gramos;2
2010;10;14;2.2500 gramos y mas;24
2010;10;21;1.Menos de 2500 gramos;24
2010;10;21;2.2500 gramos y mas;267
2010;10;21;3.Sin especificar;1
2010;10;28;1.Menos de 2500 gramos;3
2010;10;28;2.2500 gramos y mas;26
2010;10;35;1.Menos de 2500 gramos;36
2010;10;35;2.2500 gramos y mas;487
2010;10;35;3.Sin especificar;1
